simulation_id,year,patients_alive,patients_treated,revenue,price
30,2047,341,41,94296569.06031314,2299916.318544223
30,2048,321,32,73597322.19341514,2299916.318544223
30,2049,312,39,89696736.4232247,2299916.318544223
30,2050,288,30,68997489.55632669,2299916.318544223
30,2051,279,30,68997489.55632669,2299916.318544223
30,2052,260,30,68997489.55632669,2299916.318544223
30,2053,253,33,75897238.51195936,2299916.318544223
30,2054,252,42,96596485.37885736,2299916.318544223
30,2055,228,29,66697573.23778246,2299916.318544223
30,2056,222,36,82796987.46759203,2299916.318544223
30,2057,208,31,71297405.87487091,2299916.318544223
30,2058,199,35,80497071.1490478,2299916.318544223
30,2059,185,32,73597322.19341514,2299916.318544223
30,2060,166,19,43698410.05234024,2299916.318544223
31,2031,1048,68,156394309.66100717,2299916.318544223
31,2032,989,91,209292384.9875243,2299916.318544223
31,2033,907,91,209292384.9875243,2299916.318544223
31,2034,842,137,315088535.64055854,2299916.318544223
31,2035,707,122,280589790.8623952,2299916.318544223
31,2036,612,91,209292384.9875243,2299916.318544223
31,2037,529,47,108096066.97157848,2299916.318544223
31,2038,491,40,91996652.74176893,2299916.318544223
31,2039,462,24,55197991.64506135,2299916.318544223
31,2040,451,31,71297405.87487091,2299916.318544223
31,2041,438,36,82796987.46759203,2299916.318544223
31,2042,420,39,89696736.4232247,2299916.318544223
31,2043,405,40,91996652.74176893,2299916.318544223
31,2044,379,32,73597322.19341514,2299916.318544223
31,2045,358,29,66697573.23778246,2299916.318544223
31,2046,350,35,80497071.1490478,2299916.318544223
31,2047,336,40,91996652.74176893,2299916.318544223
31,2048,317,32,73597322.19341514,2299916.318544223
31,2049,309,38,87396820.10468048,2299916.318544223
31,2050,288,32,73597322.19341514,2299916.318544223
31,2051,277,28,64397656.91923824,2299916.318544223
31,2052,260,30,68997489.55632669,2299916.318544223
31,2053,252,32,73597322.19341514,2299916.318544223
31,2054,251,45,103496234.33449003,2299916.318544223
31,2055,223,28,64397656.91923824,2299916.318544223
31,2056,218,36,82796987.46759203,2299916.318544223
31,2057,204,33,75897238.51195936,2299916.318544223
31,2058,192,34,78197154.83050358,2299916.318544223
31,2059,179,34,78197154.83050358,2299916.318544223
31,2060,157,17,39098577.41525179,2299916.318544223
33,2031,1048,52,119595648.5642996,2299916.318544223
33,2032,1005,91,209292384.9875243,2299916.318544223
33,2033,922,123,282889707.18093944,2299916.318544223
33,2034,826,149,342687531.4630892,2299916.318544223
33,2035,681,111,255290711.35840875,2299916.318544223
33,2036,597,95,218492050.2617012,2299916.318544223
33,2037,512,51,117295732.24575537,2299916.318544223
33,2038,471,32,73597322.19341514,2299916.318544223
33,2039,449,22,50598159.0079729,2299916.318544223
33,2040,440,33,75897238.51195936,2299916.318544223
33,2041,425,37,85096903.78613625,2299916.318544223
33,2042,406,36,82796987.46759203,2299916.318544223
33,2043,393,42,96596485.37885736,2299916.318544223
33,2044,366,33,75897238.51195936,2299916.318544223
