simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
191,True,1159199.5505996817,1.3876412990634746,False,4925131.6504566865,1.7121067076928909,,,,,,
192,True,896310.7990671129,1.9884499242889766,True,4193538.080875247,2.4902320480834734,True,10488487.005394131,2.4898879152644096,True,4832386.3064940795,0.7844820788817761
193,True,983717.10330833,1.1813061224278152,True,3983498.5163828963,1.8715413356713553,True,15774996.105729569,2.559637168966861,True,3206490.4945442835,0.7902828633709238
194,True,1157969.8765574386,1.9850291499399035,True,3579076.7425874695,1.500766192652524,True,18788596.4504497,2.958484068275836,True,2283583.0852518883,0.7143880575944104
195,True,1722604.2108644813,1.9760146636233435,True,4252319.003492355,2.1185248388132676,True,19916966.407514274,2.836619516466108,True,3741654.4046277218,0.5586294279479456
196,False,1475902.119277065,1.9460248405617264,,,,,,,,,
197,True,1961755.2568342923,1.4017526150567967,True,5014971.946156351,1.7236372331366987,True,16926539.368223563,2.2793917111338056,True,2636935.0804417212,0.638219906053547
198,True,1092921.0013081785,1.2220369521072256,True,5370803.585280688,1.7238810559226563,True,10507790.832627863,2.790752022111451,True,4714916.1595414085,0.9995417813040713
199,True,1114046.7804928357,1.736414607494667,True,4665552.903807551,2.430795588244022,True,10324469.21325725,2.7702474435533153,True,2342084.3869036105,0.7351610216210489
200,True,957804.3334265193,1.0476264973642833,True,4690258.381556915,2.112796421015614,True,15487414.458559755,2.387601556498714,True,2274332.197113524,0.6225499545244844
201,True,1518532.6397826676,1.9950651352729623,True,4645043.053616004,2.0289362393567942,True,15503612.126530638,2.793132813708893,True,3739403.553194401,0.6226748092333088
202,True,1375383.7576484806,1.5597004836795343,True,4295348.193969666,2.379963239505704,True,15132069.511555495,2.4653372436607937,True,3143459.2943465663,0.7111893166536156
203,True,1571529.4446242354,1.5947342597391267,True,3290210.3007114353,2.426501361378902,True,12101143.496948887,2.3777537222346306,False,3237979.680675879,0.7633601142576159
204,True,951180.4683876911,1.5956621778145168,True,5239707.601868475,1.7857749335509054,True,19187333.01143924,2.2396864859442815,True,3068811.0166946123,0.9641553445430691
205,True,1023504.8981858301,1.0848121379663866,True,4067299.581438918,2.309699730430536,True,15399759.20643761,2.2274542207144883,True,4294627.420860274,0.7010135512938359
206,False,912324.2730788697,1.6058671380253884,,,,,,,,,
207,True,1574076.1321557537,1.48971599980008,True,4944489.583801718,1.8031482520329258,True,18316730.756898504,2.2986566219061344,True,4274164.675005219,0.5423713824916936
208,True,1791885.5911854203,1.0530222232426514,True,3958923.449521868,2.04432354681216,True,19750552.77115725,2.5952226337769035,True,4530534.788999011,0.9159858749733256
209,True,906995.9315469861,1.7252574319309357,True,3209123.8123751,1.6138770308461958,True,10054096.129839886,2.203260806170908,True,4157838.749288899,0.6226502202357127
210,True,1610455.2748136702,1.554822545138426,True,4511926.078715435,1.549129001847363,True,12062429.416357987,2.7667343595978524,True,3968741.0575753776,0.7165804775529676
211,True,1146873.580632646,1.7138420849924754,True,4062276.0243110713,1.5847940864696484,True,18087469.413173437,2.979521296275286,True,2828885.282432777,0.9763216637514087
212,True,1587168.5259817198,1.0492618090774997,True,3850510.4462374593,1.6983351658950756,True,12545972.26780711,2.0420873001165263,True,4190670.877428687,0.8855435516079578
213,True,999185.9781033678,1.8927146794705856,True,5068206.4735018425,1.8175948722758617,False,13945322.529501606,2.1457922162054865,,,
214,True,1929757.1707781078,1.1997784851379047,True,3324419.345850838,2.4546389226670313,True,16879469.012881894,2.5932431576714823,False,4347498.130794564,0.7745801767394815
215,True,1640883.1438144387,1.5881395905269264,True,4148584.2156009665,1.5265990634023199,True,10553462.762016844,2.6201954343334997,True,2315936.1257118275,0.7947253471780504
216,False,1215830.3134323834,1.3294837738807113,,,,,,,,,
217,True,1517617.1861930732,1.252863117577658,True,3073248.85219236,2.3257727095162677,True,16729976.613772122,2.0593156606306255,True,3990949.3292893954,0.9574545293599883
218,True,1716062.5969529534,1.04970889128717,True,5262311.315115062,1.853576304952004,True,17090524.533851434,2.268236468424586,True,2819903.9159735045,0.9677246522612917
219,True,1902101.804191592,1.966758701736031,True,3952600.533914982,2.4530798591017007,True,13800407.067564953,2.47198807309454,True,2601398.702237928,0.8789760739141108
220,True,1545582.1058768155,1.8166432058339317,True,4018480.8692125147,2.1431364771313186,True,17254976.528349932,2.4101931268165524,True,4836185.1833661925,0.6767090113660481
221,True,843395.6940926337,1.062919784820227,True,3729295.6677542413,2.4488256896473217,False,10675990.939807683,2.0838601071245413,,,
222,True,1007869.1966905848,1.7780805012961605,True,3410593.235142084,1.6757324876624358,True,12086749.706354983,2.243518896479573,True,2265279.649326546,0.5373563926747587
